quantity,price,total,payment_method,notes,created_at
2,35000,70000,Cash,Morning order,2026-01-22 08:00:00
1,32000,32000,Card,Afternoon break,2026-01-22 10:30:00
3,20000,60000,E-wallet,Office meeting,2026-01-22 09:00:00
1,60000,60000,Cash,Birthday celebration,2026-01-22 12:00:00
2,40000,80000,Card,Lunch time,2026-01-22 12:30:00
1,35000,35000,E-wallet,Individual order,2026-01-22 14:00:00
4,25000,100000,Cash,Team order,2026-01-22 15:00:00
2,50000,100000,Card,Special occasion,2026-01-22 16:30:00
1,38000,38000,E-wallet,Snack break,2026-01-22 17:00:00
3,30000,90000,Cash,Group gathering,2026-01-22 18:00:00
